Date,Price,Volume,CirSupply,Velocity,Valuation
2021-03-28,32.30,35261374,924019161,0.04,0.05
2021-03-29,34.37,47710664,924420971,0.05,0.09
2021-03-30,34.07,37604957,924444878,0.04,0.06
2021-03-31,37.03,95273222,924746184,0.10,0.39
2021-04-01,37.67,74640843,925133198,0.08,0.25
2021-04-02,41.16,68615561,925588207,0.07,0.23
2021-04-03,41.65,125860531,925620987,0.14,0.77
2021-04-04,44.65,69890992,925970603,0.08,0.25
2021-04-05,45.80,64148366,925971075,0.07,0.22
2021-04-06,43.43,71506141,926263616,0.08,0.26
2021-04-07,39.59,96097077,926598356,0.10,0.43
2021-04-08,41.37,45072212,926710515,0.05,0.10
2021-04-09,40.85,32273016,927729047,0.03,0.05
2021-04-10,41.63,39567916,927875594,0.04,0.08
2021-04-11,41.42,37039314,928790178,0.04,0.07
2021-04-12,40.50,44146295,928914541,0.05,0.09
2021-04-13,42.95,59532659,929203929,0.06,0.18
2021-04-14,42.64,69297725,929522365,0.07,0.24
2021-04-15,43.52,52088020,929649734,0.06,0.14
2021-04-16,41.54,64939456,930013312,0.07,0.20
2021-04-17,42.54,107975564,930686395,0.12,0.57
2021-04-18,37.35,159107301,930925354,0.17,1.09
2021-04-19,34.82,80800562,931137926,0.09,0.26
2021-04-20,35.44,94747780,931659926,0.10,0.37
2021-04-21,33.87,83009550,931793872,0.09,0.27
2021-04-22,32.99,105193975,931953234,0.11,0.42
2021-04-23,32.23,135903970,932262395,0.15,0.68
2021-04-24,28.93,69166700,932649650,0.07,0.16
2021-04-25,29.76,54458816,932846326,0.06,0.10
2021-04-26,33.41,65851673,933006366,0.07,0.17
2021-04-27,34.70,53160456,933397648,0.06,0.11
2021-04-28,33.97,54655786,933482651,0.06,0.12
2021-04-29,35.97,50799251,933740854,0.05,0.11
2021-04-30,36.54,60505284,934176483,0.06,0.15
2021-05-01,36.93,43221207,934331991,0.05,0.08
2021-05-02,36.65,38840021,934616428,0.04,0.06
2021-05-03,37.26,49841888,934690200,0.05,0.11
2021-05-04,34.85,75407513,935088727,0.08,0.23
2021-05-05,40.50,81493134,935379353,0.09,0.31
2021-05-06,41.53,98450348,935972938,0.11,0.46
2021-05-07,39.93,75538573,936103640,0.08,0.26
2021-05-08,39.83,44042670,936368112,0.05,0.09
2021-05-09,40.31,56921997,936597946,0.06,0.15
2021-05-10,36.54,87231440,936938423,0.09,0.32
2021-05-11,38.64,58566693,937233169,0.06,0.15
2021-05-12,34.03,108690746,937426290,0.12,0.46
2021-05-13,40.03,175685975,937632260,0.19,1.41
2021-05-14,47.95,117485684,937926693,0.13,0.75
2021-05-15,43.54,149002221,938266670,0.16,1.10
2021-05-16,42.63,100131862,938535401,0.11,0.49
2021-05-17,38.71,123469853,938719453,0.13,0.67
2021-05-18,40.65,96285701,938887207,0.10,0.43
2021-05-19,25.23,399127910,939148637,0.42,4.56
2021-05-20,29.15,229671737,939490484,0.24,1.74
2021-05-21,24.46,263369236,939820228,0.28,1.92
2021-05-22,22.01,198955177,940205724,0.21,0.99
2021-05-23,18.03,332937268,940094262,0.35,2.26
2021-05-24,23.20,190172611,941526697,0.20,0.95
2021-05-25,22.13,149278238,941936490,0.16,0.56
2021-05-26,24.55,126296464,942109201,0.13,0.44
2021-05-27,23.85,115536710,942502448,0.12,0.36
2021-05-28,21.41,211167059,942683576,0.22,1.07
2021-05-29,19.86,120456815,943048407,0.13,0.32
2021-05-30,20.47,95143317,943269172,0.10,0.21
2021-05-31,23.43,113158359,943571226,0.12,0.34
2021-06-01,22.81,97773826,944079731,0.10,0.24
2021-06-02,25.96,114128568,944188296,0.12,0.38
2021-06-03,27.01,103778573,944852380,0.11,0.33
2021-06-04,25.01,111999886,944981134,0.12,0.35
2021-06-05,23.82,88285882,945121766,0.09,0.21
2021-06-06,24.20,49075324,945523807,0.05,0.07
2021-06-07,21.63,86043361,945565288,0.09,0.18
2021-06-08,21.75,122018305,950588729,0.13,0.36
2021-06-09,23.18,95772467,951241622,0.10,0.23
2021-06-10,22.68,93227295,951456237,0.10,0.22
