Date,Price,Volume,CirSupply,Velocity,Valuation
2021-02-12,48.66,14156246,76937058,0.18,1.65
2021-02-13,43.79,8679089,76937055,0.11,0.56
2021-02-14,38.58,12256426,76937058,0.16,0.98
2021-02-15,38.18,12889492,76937056,0.17,1.07
2021-02-16,36.34,9914273,76937056,0.13,0.60
2021-02-17,37.05,11269198,76937053,0.15,0.79
2021-02-18,41.02,10569818,76937055,0.14,0.77
2021-02-19,38.75,8250868,76937054,0.11,0.45
2021-02-20,36.23,12932839,76937056,0.17,1.02
2021-02-21,36.15,5904434,76937059,0.08,0.21
2021-02-22,32.28,10576439,76937058,0.14,0.61
2021-02-23,27.56,13013710,76937058,0.17,0.79
2021-02-24,29.94,12287096,76937053,0.16,0.76
2021-02-25,26.74,9236842,76937056,0.12,0.39
2021-02-26,25.94,6886682,76937054,0.09,0.21
2021-02-27,25.81,6202205,76937056,0.08,0.17
2021-02-28,23.82,6565426,76937060,0.09,0.17
2021-03-01,27.40,9057207,76937055,0.12,0.38
2021-03-02,27.14,20782426,76937054,0.27,1.98
2021-03-03,27.27,11192402,76937055,0.15,0.58
2021-03-04,25.81,11265057,76937052,0.15,0.55
2021-03-05,24.38,7878636,82977395,0.09,0.22
2021-03-06,24.92,5540268,83367791,0.07,0.11
2021-03-07,26.65,11264758,83937053,0.13,0.48
2021-03-08,25.55,8219768,84671060,0.10,0.24
2021-03-09,34.25,35107171,126560816,0.28,2.64
2021-03-10,29.71,28341846,126887337,0.22,1.48
2021-03-11,30.73,19399466,127663614,0.15,0.71
2021-03-12,27.99,15427879,127668801,0.12,0.41
2021-03-13,30.91,16858287,127680124,0.13,0.54
2021-03-14,29.06,10753988,127690392,0.08,0.21
2021-03-15,29.02,11519680,127696858,0.09,0.24
2021-03-16,33.08,13620241,127703810,0.11,0.38
2021-03-17,32.65,13500980,127721214,0.11,0.36
2021-03-18,33.30,13201554,127727678,0.10,0.36
2021-03-19,37.76,16461846,127734310,0.13,0.63
2021-03-20,34.35,9955542,127743514,0.08,0.21
2021-03-21,32.81,10025142,127758020,0.08,0.20
2021-03-22,29.36,10571691,127766343,0.08,0.20
2021-03-23,28.59,8594603,127778815,0.07,0.13
2021-03-24,26.05,11215845,127805512,0.09,0.20
2021-03-25,26.00,9716420,127817280,0.08,0.15
2021-03-26,28.24,8222346,127826645,0.06,0.12
2021-03-27,27.63,6368223,127834332,0.05,0.07
2021-03-28,28.70,7769561,127836756,0.06,0.11
2021-03-29,29.47,7461755,127908509,0.06,0.10
2021-03-30,29.63,7465534,127932473,0.06,0.10
2021-03-31,28.73,7719545,127969328,0.06,0.10
2021-04-01,28.42,6055482,128001568,0.05,0.06
2021-04-02,29.12,5752436,128021440,0.04,0.06
2021-04-03,28.25,15031084,128023563,0.12,0.39
2021-04-04,29.33,6336559,128028916,0.05,0.07
2021-04-05,31.25,14318950,128036353,0.11,0.39
2021-04-06,31.55,14358192,128044845,0.11,0.40
2021-04-07,29.48,11434169,128048108,0.09,0.24
2021-04-08,30.76,5762325,128055042,0.04,0.06
2021-04-09,31.53,9168629,128083869,0.07,0.16
2021-04-10,31.80,11874374,128410496,0.09,0.27
2021-04-11,31.60,6695875,128553866,0.05,0.09
2021-04-12,33.88,14333736,128557681,0.11,0.42
2021-04-13,33.67,11292287,128566816,0.09,0.26
2021-04-14,38.46,25374801,128582117,0.20,1.50
2021-04-15,37.14,15577135,128586363,0.12,0.55
2021-04-16,35.63,12376777,128604010,0.10,0.33
2021-04-17,34.34,8717192,128606894,0.07,0.16
2021-04-18,29.25,20040893,128609464,0.16,0.71
2021-04-19,26.28,11623855,128613326,0.09,0.21
2021-04-20,27.35,12864585,128631977,0.10,0.27
2021-04-21,25.90,9862182,128637622,0.08,0.15
2021-04-22,24.03,12194562,128643087,0.09,0.22
2021-04-23,23.50,16253127,128653026,0.13,0.38
2021-04-24,21.78,8141091,128654956,0.06,0.09
2021-04-25,21.54,6424246,128661116,0.05,0.05
2021-04-26,26.46,10001474,128724878,0.08,0.16
2021-04-27,27.82,7706802,128737450,0.06,0.10
2021-04-28,28.33,8490021,128740355,0.07,0.12
2021-04-29,27.93,7839089,128743698,0.06,0.10
2021-04-30,32.92,11728167,128754759,0.09,0.27
2021-05-01,31.89,13014390,128767450,0.10,0.33
2021-05-02,31.30,7716518,128786600,0.06,0.11
2021-05-03,35.93,17082034,128793627,0.13,0.63
2021-05-04,30.36,14159579,128809579,0.11,0.37
2021-05-05,35.26,8825283,128812421,0.07,0.17
2021-05-06,37.98,16213970,128820095,0.13,0.60
2021-05-07,38.05,21343990,128825908,0.17,1.04
2021-05-08,38.32,9147370,128832083,0.07,0.19
2021-05-09,39.02,8436341,128861810,0.07,0.17
2021-05-10,34.70,15225767,128869553,0.12,0.48
2021-05-11,36.82,9289233,128884664,0.07,0.19
2021-05-12,32.02,19845192,128891690,0.15,0.76
2021-05-13,34.98,15431788,128895428,0.12,0.50
2021-05-14,36.95,9308781,128903450,0.07,0.19
2021-05-15,34.41,17487248,128911106,0.14,0.63
2021-05-16,36.52,15518426,128913984,0.12,0.53
2021-05-17,33.66,13600491,128918744,0.11,0.37
2021-05-18,36.82,10046298,129092380,0.08,0.22
2021-05-19,23.38,24936745,129096808,0.19,0.87
2021-05-20,25.20,14147279,129107899,0.11,0.30
2021-05-21,21.80,12029005,129113782,0.09,0.19
2021-05-22,18.85,8469880,129117755,0.07,0.08
2021-05-23,15.76,15302282,129136841,0.12,0.22
2021-05-24,19.41,12824502,129278438,0.10,0.19
2021-05-25,19.45,9103202,129452505,0.07,0.10
2021-05-26,20.91,8791811,129571116,0.07,0.10
2021-05-27,19.00,6368090,129688092,0.05,0.05
2021-05-28,16.73,7449860,129802553,0.06,0.06
2021-05-29,16.13,4546093,129920005,0.03,0.02
2021-05-30,16.53,4025031,130007127,0.03,0.02
2021-05-31,18.16,4607147,130097945,0.04,0.02
2021-06-01,17.77,4538106,130293203,0.03,0.02
2021-06-02,18.68,5457044,130409998,0.04,0.03
2021-06-03,20.24,5836627,130511382,0.04,0.04
2021-06-04,18.25,5945888,130623280,0.05,0.04
2021-06-05,17.25,5362320,130739423,0.04,0.03
2021-06-06,17.40,2806962,130736361,0.02,0.01
2021-06-07,15.52,8324681,171680948,0.05,0.04
2021-06-08,14.87,8324489,171846942,0.05,0.03
2021-06-09,15.39,6969983,171994842,0.04,0.03
2021-06-10,14.18,6370291,172119052,0.04,0.02
2021-06-11,13.42,5900473,172243728,0.03,0.02
2021-06-12,13.55,5881494,172405139,0.03,0.02
2021-06-13,14.78,6566681,172409994,0.04,0.02
2021-06-14,14.97,6644385,172412644,0.04,0.02
2021-06-15,15.18,6268157,172418161,0.04,0.02
2021-06-16,14.07,5617235,172418168,0.03,0.01
2021-06-17,14.83,6770763,172418160,0.04,0.02
2021-06-18,13.63,5745220,172418161,0.03,0.02
2021-06-19,13.46,2820224,172418164,0.02,0.00
2021-06-20,13.97,4003987,172418160,0.02,0.01
2021-06-21,11.21,7698083,172418162,0.04,0.02
2021-06-22,10.53,10422851,172418157,0.06,0.04
2021-06-23,11.19,6870291,172418158,0.04,0.02
2021-06-24,11.48,4511792,172418165,0.03,0.01
2021-06-25,10.27,5176300,172418170,0.03,0.01
2021-06-26,10.28,4090197,172418157,0.02,0.01
2021-06-27,10.92,3180417,172418172,0.02,0.00
2021-06-28,11.29,4014857,172418161,0.02,0.01
2021-06-29,11.85,5138049,172418167,0.03,0.01
2021-06-30,11.96,4425689,172418160,0.03,0.01
2021-07-01,11.23,3017541,172418160,0.02,0.00
2021-07-02,11.13,3669783,172418167,0.02,0.01
2021-07-03,11.50,2881302,172418164,0.02,0.00
2021-07-04,12.35,4890932,172418168,0.03,0.01
2021-07-05,12.03,5401461,172418171,0.03,0.01
2021-07-06,13.36,8630003,172418163,0.05,0.03
2021-07-07,13.09,6926453,172418168,0.04,0.02
2021-07-08,12.12,5480877,172418165,0.03,0.01
2021-07-09,12.54,5061587,172418159,0.03,0.01
2021-07-10,12.03,3065707,172418165,0.02,0.00
2021-07-11,12.41,2534954,172418166,0.01,0.00
2021-07-12,12.19,4215821,172418163,0.02,0.01
2021-07-13,11.91,3684845,172418160,0.02,0.01
2021-07-14,11.79,3714005,172418171,0.02,0.01
2021-07-15,11.35,3067096,172418163,0.02,0.00
2021-07-16,10.86,4348938,172418157,0.03,0.01
2021-07-17,10.93,2999788,172418160,0.02,0.00
2021-07-18,10.70,3063345,172418163,0.02,0.00
2021-07-19,10.17,3193464,172418164,0.02,0.00
2021-07-20,9.65,3716116,172418169,0.02,0.00
2021-07-21,10.42,4319662,172418160,0.03,0.01
2021-07-22,10.83,3776450,172418163,0.02,0.01
2021-07-23,11.10,3224181,172418166,0.02,0.00
2021-07-24,11.17,3766174,172418163,0.02,0.01
2021-07-25,11.24,3094843,172418158,0.02,0.00
2021-07-26,11.49,8207884,172418166,0.05,0.03
2021-07-27,11.92,4441452,172418170,0.03,0.01
