Date,Price,Volume,CirSupply,Velocity,Valuation
2019-12-24,4.42,28758464,190834829,0.15,0.10
2019-12-25,4.30,24411073,190799070,0.13,0.07
2019-12-26,4.58,30534528,190624702,0.16,0.12
2019-12-27,4.52,29348108,190703307,0.15,0.11
2019-12-28,4.41,26546298,190517228,0.14,0.09
2019-12-29,4.27,29407969,190586436,0.15,0.10
2019-12-30,4.19,30285500,190697971,0.16,0.11
2019-12-31,4.22,26049314,190540081,0.14,0.08
2020-01-01,4.38,24656282,190695326,0.13,0.07
2020-01-02,4.09,27218909,190773139,0.14,0.08
2020-01-03,4.25,32615927,190594091,0.17,0.12
2020-01-04,4.29,21146458,190526462,0.11,0.05
2020-01-05,4.23,27281274,190773067,0.14,0.09
2020-01-06,4.10,34030086,190918299,0.18,0.13
2020-01-07,4.10,33339497,190504284,0.18,0.13
2020-01-08,4.01,32040993,190718820,0.17,0.11
2020-01-09,4.26,32191011,190831261,0.17,0.12
2020-01-10,4.26,42379704,190850254,0.22,0.21
2020-01-11,4.28,31379869,190473689,0.16,0.12
2020-01-12,4.26,26873281,190818549,0.14,0.08
2020-01-13,4.26,26379351,190507990,0.14,0.08
2020-01-14,4.54,48035622,190684563,0.25,0.29
2020-01-15,4.57,56222721,190600668,0.29,0.40
2020-01-16,5.08,57580707,190549626,0.30,0.46
2020-01-17,5.00,62819884,190734219,0.33,0.54
2020-01-18,4.63,47247486,190826380,0.25,0.28
2020-01-19,4.52,43247770,190630102,0.23,0.23
2020-01-20,4.51,31666193,190489866,0.17,0.12
2020-01-21,4.65,29744377,190664962,0.16,0.11
2020-01-22,4.65,28306188,190772981,0.15,0.10
2020-01-23,4.44,35540652,190883216,0.19,0.15
2020-01-24,4.48,36121867,190881313,0.19,0.16
2020-01-25,4.42,29876839,190475538,0.16,0.11
2020-01-26,4.48,29423998,190713263,0.15,0.11
2020-01-27,4.52,36839416,190591388,0.19,0.17
2020-01-28,4.59,43899995,190548862,0.23,0.24
2020-01-29,4.41,44415855,190811956,0.23,0.24
2020-01-30,4.41,43945373,190903065,0.23,0.23
2020-01-31,4.39,45413008,190667278,0.24,0.25
2020-02-01,4.38,34976719,190529837,0.18,0.15
2020-02-02,4.41,37652694,190548538,0.20,0.17
2020-02-03,4.26,39815330,190720962,0.21,0.19
2020-02-04,4.22,47199630,190551685,0.25,0.26
2020-02-05,4.33,50722778,190505527,0.27,0.31
2020-02-06,4.57,53611806,190562857,0.28,0.36
2020-02-07,4.81,54808104,190713526,0.29,0.40
2020-02-08,4.63,48339834,190587994,0.25,0.30
2020-02-09,4.76,40887777,190639782,0.21,0.22
2020-02-10,4.79,44619959,190638327,0.23,0.26
2020-02-11,5.10,48244593,190797846,0.25,0.33
2020-02-12,5.11,50778542,190708598,0.27,0.36
2020-02-13,4.89,59731265,190860426,0.31,0.48
2020-02-14,5.10,44849583,190800496,0.24,0.28
2020-02-15,4.58,56758946,190775598,0.30,0.41
2020-02-16,4.39,71765509,190899007,0.38,0.62
2020-02-17,4.27,72868229,190723417,0.38,0.62
2020-02-18,4.43,57965358,190827647,0.30,0.41
2020-02-19,4.16,60824267,190622915,0.32,0.42
2020-02-20,4.47,392444779,190753795,2.06,18.92
2020-02-21,4.83,153914752,190859053,0.81,3.14
2020-02-22,5.00,59431311,190857569,0.31,0.48
2020-02-23,4.79,53339372,190773619,0.28,0.37
2020-02-24,4.38,62345629,190774568,0.33,0.47
2020-02-25,4.06,57813646,190679231,0.30,0.37
2020-02-26,3.67,74505875,190517665,0.39,0.56
2020-02-27,3.69,66162936,190546604,0.35,0.44
2020-02-28,3.54,51546051,190495479,0.27,0.26
2020-02-29,3.48,33833478,190653057,0.18,0.11
2020-03-01,3.37,39975215,190590845,0.21,0.15
2020-03-02,3.68,42384733,190935174,0.22,0.18
2020-03-03,3.63,35125552,190674466,0.18,0.12
2020-03-04,3.74,41453720,190793638,0.22,0.18
2020-03-05,3.76,38381326,190722572,0.20,0.15
2020-03-06,3.84,34014635,190894307,0.18,0.12
2020-03-07,3.62,286894694,190733121,1.50,8.19
2020-03-08,3.10,59408597,190983255,0.31,0.30
2020-03-09,3.01,67384963,190791825,0.35,0.38
2020-03-10,3.07,52893492,190954624,0.28,0.24
2020-03-11,2.98,49441164,190415282,0.26,0.20
2020-03-12,1.65,140658279,190596345,0.74,0.90
2020-03-13,1.81,171468893,190208568,0.90,1.47
2020-03-14,1.84,114201163,190299644,0.60,0.66
2020-03-15,1.94,97649755,190394033,0.51,0.51
2020-03-16,1.67,108100129,190430304,0.57,0.54
2020-03-17,1.73,79544155,190970176,0.42,0.30
2020-03-18,1.76,83717001,190161851,0.44,0.34
2020-03-19,2.06,102444654,191101085,0.54,0.59
2020-03-20,2.16,101811445,190953441,0.53,0.61
2020-03-21,2.16,82636588,190519608,0.43,0.41
